Question,Joke,Answer
43,Why don't scientists trust stairs?,Because they're always up to something.
44,How do you make a tissue dance?,Put a little boogie in it.
45,How does a dog stop a video?,It presses the paws button.
46,What do you call a sleeping bull?,A bulldozer.
47,What did the Dalmatian say after eating?,That hit the spot.
48,What did the grape do when it got stepped on?,It let out a little wine.
49,Why was the math book sad?,Because it had too many problems.
50,What do you call a dinosaur with an extensive vocabulary?,A thesaurus.
51,What did the zero say to the eight?,Nice belt!
52,How does a farmer mend his pants?,With cabbage patches.
53,Why don't scientists trust stairs?,Because they're always up to something.
54,How does a lion greet the other animals in the jungle?,Pleased to eat you.
55,Why don't eggs tell jokes?,They might crack up.
56,What's a ghost's favorite fruit?,Boo-berries.
57,How does a squid go into battle?,Well-armed.
58,Why did the chicken go to the seance?,To talk to the other side.
59,Did you hear about the guy who invented Lifesavers?,They say he made a mint.
60,Why don't vampires go to barbecues?,They don't like steak.
61,What did the buffalo say to his son when he left for college?,Bison.
62,What's the difference between a snowman and a snowwoman?,Snowballs.
63,Why did the scarecrow become a successful politician?,Because he was outstanding in his field.
64,What do you call a cow with no legs?,Ground beef.
65,How does a train eat?,It goes chew-chew.
66,Why did the bicycle fall over?,Because it was two-tired.
67,What do you call a fly without wings?,A walk.
68,What did the baby corn say to the mama corn?,Where's popcorn?
69,What's orange and sounds like a parrot?,A carrot.
70,What do you call a fish with no eyes?,Fsh.
71,How do you make a lemon drop?,Just let it fall.
73,What's the best thing about living in Switzerland?,I don't know... but the flag is a big plus.
74,What did the left eye say to the right eye?,Between you and me... something smells.
75,What's the difference between a well-dressed man on a unicycle and a poorly dressed man on a bicycle?,Attire.
77,What did the big flower say to the little flower?,Hi bud!
78,What do you call fake spaghetti?,An impasta.
79,Why did the scarecrow win an award?,Because he was outstanding in his field.
80,Why did the tomato turn red?,Because it saw the salad dressing.
81,How do you catch a squirrel?,Climb a tree and act like a nut.
82,What did one plate say to the other plate?,Dinner is on me.
83,Why don't scientists trust atoms?,Because they make up everything.
84,What did one elevator say to the other elevator?,I think I'm coming down with something.
85,Why don't melons get married?,Because they cantaloupe.
86,What does a baby computer call his father?,Data
87,I only seem to get sick on weekdays. ,I must have a weekend immune system.
88,What do you call a Frenchman wearing sandals? ,Philippe Flop.
89,Why is it so cheap to throw a party at a haunted house? ,Because the ghosts bring all the boos.
90,I don’t get why Marvel doesn’t use the Hulk to advertise more.  ,He’s basically one big Banner.
91,What brand of underwear do scientists wear? ,Kelvin Klein.
92,Which days are the strongest?,Saturday and Sunday. The rest are weekdays.
93,I just found out I’m colorblind.,The news came out of the purple!
94,Did you know your pupils are the last part to stop working when you die?,They dilate.
95,My wife asked me the other day where I got so much candy.,I said "I always have a few Twix up my sleeve".
96,How do cows stay up to date?,They read the Moo-spaper.
98,I hate my job—all I do is crush cans all day.,It’s soda pressing.
99,Where do pirates get their hooks?,Second-hand stores.
100,Of all the inventions of the last 100 years...,The dry erase board has to be the most remarkable.
102,What do you call a line of men waiting to get haircuts?,A barberqueue.
104,Who were the greenest Presidents in US history?,The bushes.
105,My hotel tried to charge me ten dollars extra for air conditioning.,That wasn’t cool.
106,What do you call a beehive without an exit?,Unbelievable.
107,If I ever find the doctor who screwed up my limb replacement surgery…,I’ll kill him with my bear hands.
108,Did you know that the first french fries weren’t cooked in France?,They were cooked in Greece.
109,This morning, Siri said “Don’t call me Shirley. I accidentally left my phone in Airplane mode.
110,It's easy to convince ladies not to eat Tide Pods...,but harder to deter gents.
111,I asked my date to meet me at the gym but she never showed up.,I guess the two of us aren't going to work out.
112,How do you find Will Smith in a snowstorm?,You look for fresh prints.
113,The difference between a numerator and a denominator is a short line.,Only a fraction of people will understand this.
114,I found a wooden shoe in my toilet today.,It was clogged.
115,I just broke up with my mathematician girlfriend.,She was obsessed with an X.
116,I can't take my dog to the pond anymore because the ducks keep attacking him.,That's what I get for buying a pure bread dog.
117,To whoever stole my copy of Microsoft Office, I will find you. You have my Word.
118,What’s Forrest Gump’s password?,1forrest1.
119,I used to run a dating service for chickens.,But I was struggling to make hens meet.
120,If prisoners could take their own mug shots…,They’d be called cellfies.
121,Have you heard about those new corduroy pillows?,They're making headlines.
122,If a pig loses its voice…,Does it become disgruntled?
123,Wanna hear a joke about paper?,Never mind. It's tearable.
124,A panic-stricken man explained to his doctor, “You have to help me! I think I’m shrinking. The Doc said "You'll just have to learn to be a little patient".
125,What do you call a bundle of hay in a church?,Christian Bale.
126,A ship carrying red paint and a ship carrying blue paint collide in the middle of the ocean.,Both crews were marooned.
127,What is a guitar player's favorite Italian food?,Strum-boli.
128,How does cereal pay its bills?,With Chex.
